Date,Open,High,Low,Close,Adj Close,Volume
2017-05-05,174.539993,174.880005,173.309998,174.119995,163.166977,2189000
2017-05-08,173.929993,174.559998,173.570007,174.440002,163.466888,2505900
2017-05-09,174.100006,174.770004,172.729996,173.240005,162.342331,1653700
2017-05-10,173.039993,173.639999,172.460007,173.389999,162.482925,1568700
2017-05-11,172.759995,173.860001,171.669998,173.320007,162.417313,1901300
2017-05-12,172.639999,173.389999,171.520004,171.809998,161.002289,2335400
2017-05-15,171.789993,172.000000,170.229996,171.529999,160.739868,2831400
2017-05-16,170.669998,171.000000,167.250000,168.119995,157.544373,4343700
2017-05-17,168.119995,170.389999,166.649994,168.860001,158.237869,4442300
2017-05-18,168.250000,173.979996,167.869995,171.449997,160.664917,3908000
2017-05-19,172.300003,172.949997,170.250000,172.589996,161.733246,3877300
2017-05-22,172.729996,174.899994,172.600006,174.699997,163.710495,3480300
2017-05-23,174.440002,175.520004,173.710007,175.220001,164.197784,2471500
2017-05-24,175.449997,176.100006,174.520004,175.589996,164.544525,1612300
2017-05-25,176.320007,178.729996,175.940002,178.050003,166.849777,3212200
2017-05-26,177.679993,178.889999,177.000000,177.500000,166.334335,1583600
2017-05-30,177.539993,178.080002,176.240005,176.589996,165.481583,2285700
2017-05-31,176.889999,176.899994,174.919998,175.179993,164.160294,3320400
2017-06-01,175.779999,179.580002,175.190002,179.580002,168.283508,2890600
2017-06-02,179.919998,179.919998,178.339996,179.389999,168.105453,2610100
2017-06-05,179.529999,180.320007,179.160004,179.369995,168.086670,2640600
2017-06-06,179.190002,181.059998,178.479996,180.820007,169.445557,3443900
2017-06-07,182.000000,183.470001,179.649994,183.210007,171.685135,3783600
2017-06-08,183.210007,183.759995,180.979996,181.690002,170.260788,3079900
2017-06-09,181.839996,182.399994,180.860001,181.460007,170.045258,2392200
2017-06-12,181.460007,181.820007,176.419998,179.250000,167.974274,3705600
2017-06-13,179.210007,181.389999,179.149994,181.050003,169.661041,2458500
2017-06-14,180.940002,182.839996,180.940002,182.360001,170.888672,2039300
2017-06-15,181.750000,183.500000,180.089996,180.380005,169.731277,3078700
2017-06-16,180.830002,182.460007,180.380005,181.630005,170.907486,4473300
